customer_id,customer_name,province
C001,Aiden Mokoena,Gauteng
C002,Lerato Dlamini,KwaZulu-Natal
C003,Thabo Ndlovu,Limpopo
C004,Emma Jacobs,Western Cape
C005,Kabelo Molefe,Free State
C006,Chantelle Naidoo,Gauteng
C007,Michael Botha,Eastern Cape
C008,Naledi Maseko,Mpumalanga
C009,Ryan Petersen,Western Cape
C010,Ayanda Khumalo,Gauteng
C011,Jason Williams,North West
C012,Precious Sithole,KwaZulu-Natal
C013,Matthew van der Merwe,Northern Cape
C014,Karabo Mokoena,Limpopo
C015,Zanele Dube,Mpumalanga
C016,Daniel Ross,Gauteng
C017,Nokuthula Cele,KwaZulu-Natal
C018,Simon Adams,Western Cape
C019,Refilwe Mokoena,North West
C020,Brandon Daniels,Eastern Cape
