transaction_id,date,product,category,quantity,unit_price,customer
1001,2026-01-03,Laptop,Electronics,1,12500,Thabo
1002,2026-01-04,Mouse,Electronics,2,350,Lerato
1003,2026-01-05,Office Chair,Furniture,1,3200,Mpho
1004,2026-01-07,Keyboard,Electronics,1,850,Naledi
1005,2026-01-08,Desk,Furniture,1,4500,Thabo
1006,2026-01-10,Monitor,Electronics,2,4200,Lerato
1007,2026-01-12,Notebook,Stationery,5,85,Mpho
1008,2026-01-13,Pen,Stationery,10,25,Naledi
1009,2026-01-15,Laptop,Electronics,1,12500,Thabo
1010,2026-01-17,Desk,Furniture,2,4500,Lerato
1011,2026-01-19,Mouse,Electronics,3,350,Mpho
1012,2026-01-20,Office Chair,Furniture,1,3200,Naledi
1013,2026-01-22,Monitor,Electronics,1,4200,Thabo
1014,2026-01-24,Notebook,Stationery,8,85,Lerato
1015,2026-01-26,Keyboard,Electronics,2,850,Mpho
